Timestamp,What is the official name of your course?,At what school (or through what organization) is your course being taught?,"If there an official course webpage, please list it here:","If your course materials are publicly available online, please include the URL:",What are the names of the course instructors?,How often is this course taught?,Approximately how many students are in your class?,What level of education is your course?,What is the minimum level of programming experience that your students are expected to be at?,What field(s) is your course most related to?,What are the biggest pain points for you in running your class?,Please indicate which of the following Jupyter/IPython tools your class is utilizing:,"If you are using the notebook, are you using any custom or third-party extensions?","If you are using the notebook, how do students access it? (i.e. where is it installed?)",What language(s) will your students be using?,"If you are using the notebook, what kernel(s) will you be using?",What types of assignments do you use the notebook for?,What types of questions are included in your assignments?,"If you are using notebooks for graded assignments, how are you doing the grading?","When you grade coding answers, what aspects of the students' answers are you evaluating?",Are there any other ways that you structure your assignments or do grading that have not been covered by the previous questions?,What are the biggest pain points for you in grading Jupyter notebook assignments?,Are there any other ways in which you are using Jupyter in your class that were not covered in the previous questions?,Do you have any specific suggestions for how Jupyter tools could be made more accessible for instructors?
4/22/2016 19:57:50,COGSCI 131 (Computational Models of Cognition),UC Berkeley,,,"Tom Griffiths
Jessica Hamrick",Every year,100 - 250,Advanced undergraduate (juniors and seniors),Novice (~1 semester of experience),"Computer science, Data science, Machine learning, Psychology",,"Jupyter notebook, Interactive widgets, JupyterHub, nbconvert, nbgrader",nbgrader extensions,JupyterHub,Python 3,IPyKernel,"Homeworks / problem sets, Exams","Autograded coding exercises, Manually graded coding exercises, Manually graded written answers (prose)",nbgrader,Correctness,,,,
4/22/2016 20:06:22,,,,,,Ad-hoc (e.g. workshops),100 - 250,"Mixed (conferences, workshops, Software Carpentry style events, etc.)",Intermediate (a year of experience),"Computer science, Data science, Statistics","Painful installation and setup, whether for the students or shifted on to me adminstering JupyterHub. ","Jupyter notebook, JupyterHub",,JupyterHub,"Javascript, Python 3","IJavascript, IPyKernel",Lab exercises,Ungraded coding exercises,N/A,N/A,,,,Paid for support/administration
4/22/2016 20:18:24,Data Analysis,University of West Georgia,http://courses.cs.westga.edu/course/view.php?id=597,http://courses.cs.westga.edu/course/view.php?id=597,James Church,Once,10 - 25,"Intermediate undergraduate (sophmores and juniors), Advanced undergraduate (juniors and seniors)",Advanced (2-3 years of experience),Computer science,None. This course was a joy to teach. Jupyter was a joy to use. Students were great. We all had a good time.,Jupyter notebook,"No. I would like to use nbgrader, but that my be for the next time I teach the course.",It is installed on computers in a university/school computer cluster or lab,Python 3,IPyKernel,"In-class exercises, Homeworks / problem sets","Manually graded coding exercises, Manually graded written answers (prose)",By hand,"Style, Correctness, Clarity",,I wish there was a way to open all of my students' submissions in their own tab in one click.,No.,Build the grader directly into the notebook... Please!
4/22/2016 20:19:46,Data Analysis & Visualization,Texas Christian University,https://github.com/walkerke/geog30323,https://github.com/walkerke/geog30323,Kyle Walker,Every year,10 - 25,"Intermediate undergraduate (sophmores and juniors), Advanced undergraduate (juniors and seniors)",Complete novice (no experience),Geography,"Keeping environments consistent between Python installations on university computers and students' computers, especially with the rapid pace of change of many packages; I've learned a few lessons here","Jupyter notebook, Interactive widgets",,It is installed on computers in a university/school computer cluster or lab,Python 3,IPyKernel,"In-class exercises, Lab exercises, Homeworks / problem sets, Exams","Manually graded coding exercises, Ungraded coding exercises, Manually graded written answers (prose), Ungraded written answers (prose)",By hand,"Correctness, Clarity",,,"No, that covers it.  ","No - it has worked out for me quite well, and my students really like using Jupyter Notebooks.  "
4/23/2016 1:04:22,,,,,,Ad-hoc (e.g. workshops),Less than 10,"Community college, Mixed (conferences, workshops, Software Carpentry style events, etc.)",Intermediate (a year of experience),"Physics, Statistics",,"Jupyter notebook, IPython terminal, Interactive widgets, nbconvert",,It is installed on computers in a university/school computer cluster or lab,"Python 2, Python 3",,"In-class exercises, Homeworks / problem sets",,,"Style, Correctness, Clarity",,,,
4/23/2016 1:07:58,Inteoduction to Python for scientists,University of Reading,,,Marcello Seri,Every year,10 - 25,"Introductory undergraduate (freshman and sophmores), Intermediate undergraduate (sophmores and juniors), Advanced undergraduate (juniors and seniors)",Complete novice (no experience),"Mathematics, Physics, Statistics",Having a centralised installation of Python. Solved by using local anaconda install done by the students in the first 10-15 min,"Jupyter notebook, Interactive widgets",None,They have it installed on their own computers,Python 3,"IHaskell, IJulia, IPyKernel, SageMath","In-class exercises, Lab exercises, Homeworks / problem sets",Ungraded coding exercises,N/A,N/A,No,N/A,No,I think they are great
4/23/2016 1:23:24,Scientific Python,University Heidelberg,,http://github.com/cessor/scientific-python,,Once,10 - 25,Introductory undergraduate (freshman and sophmores),Complete novice (no experience),"Biology, Computer science, Economics, Sociology",An unreliable internet connection... ,"Jupyter notebook, Interactive widgets",,They have it installed on their own computers,"Python 3, R",IPyKernel,"Homeworks / problem sets, Collaborative / group assignments","Autograded coding exercises, Manually graded coding exercises, Ungraded coding exercises",By hand,"Style, Correctness, Clarity, Complexity. Did the student utilize a higher concept appropriately?",,,,"I often miss some kind of presentation mode, so that I can show a notebook without revealing its full content."
4/23/2016 1:58:56,Scientific Computing,The University of Indianapolis,,https://github.com/sspickle/sci-comp-notebooks,"Steve Spicklemire
Tim Duman",Every year,Less than 10,Intermediate undergraduate (sophmores and juniors),Novice (~1 semester of experience),Physics,Grading is challenging. Contemplating trying to auto-grader,"Jupyter notebook, JupyterHub","vpython, https://github.com/BruceSherwood/vpython-jupyter",JupyterHub,Python 2,IPyKernel,"In-class exercises, Homeworks / problem sets","Manually graded coding exercises, Manually graded written answers (prose)",By hand,"Style, Correctness, Clarity","Students write ""project reports"" similar to lab reports for each ""project""","We grade for a lot more than just correct code. There are issues of validation and interpretation that need to be articulated. Even with nbgrader, we'll still have to have a manual step.",,
4/23/2016 2:47:22,Simulation and Modelling,University of Southampton,On Blackboard :(,https://github.com/ngcm/training-public/tree/master/FEEG6016%20Simulation%20and%20Modelling,Ian Hawke,Every year,10 - 25,Graduate,Novice (~1 semester of experience),"Chemistry, Computer science, Mathematics, Physics",Linking to official university systems for marking and feedback,"Jupyter notebook, Interactive widgets",,They have it installed on their own computers,"Python 2, Python 3",IPyKernel,"In-class exercises, Lab exercises, Homeworks / problem sets","Manually graded coding exercises, Ungraded coding exercises, Manually graded written answers (prose)",By hand,"Style, Correctness, Clarity",Testing coverage,Re-running long calculations for animated/interactive answers,,
4/23/2016 4:23:35,Numerical Analysis,University of North Carolina at Asheville,http://marksmath.org/classes/Spring2016NumericalAnalysis/,http://marksmath.org/classes/Spring2016NumericalAnalysis/,Mark McCure,Every other year,10 - 25,Advanced undergraduate (juniors and seniors),Novice (~1 semester of experience),"Computer science, Data science, Mathematics",Grading labs,"Jupyter notebook, nbconvert",,They have it installed on their own computers,Python 3,IPyKernel,"In-class exercises, Lab exercises, Homeworks / problem sets","Manually graded coding exercises, Manually graded written answers (prose)",By hand,"Correctness, Clarity",,"Collecting the assignments. They students email their notebooks to me and, it is a small pain to go through my emails to find them all.","In this class, I often use Jupyter as a presentation tool.","As I understand it, ipywidgets are going through an upgrade. I think this is tremendously important for Jupyter's potential as a teaching tool. As a mathematics professor, I often want to show students, say, a Calculus class a demo that focuses on the *math* content and hides the code implementing the demo. Ideally, the demo is publicly available and easy for the interested student to play with. For those reasons, I wonder how independent ipywidgets can become from a supporting kernel?"
