Code,Test,Tab,Center,L/B,Task,ST,CT,ToT,Init,CFA,aCFA,FS,FCA,CEDZ,Notes,source,target,position
TacoBullMonsterSurf,6,N,Y,B,1-2,2:22,2:29,7.0,G to RTDZ,G to RTDZ,G to TEDZ,0.0,,,Would have landed in TaDZ.,G,R,T
PopeyeVeganMonkeyMoogle,2,Y,Y,B,4-1,3:51,4:02,11.0,G to BBDZ,G to BEDZ,,1.0,G to BEDZ,Y,Went to middle to find EDZ,G,B,B
FalseDonkey,1,Y,Y,L,4-1,4:12,4:44,32.0,G to REDZ,G to BEDZ,,2.0,Messy Reorganize,Y,"Went to middle for EDZ. Tried to find EDZ, but it was too small. Kept hitting EDZ on accident.",G,E,R
SimpleNeptuneMachineDamage,5,N,Y,L,4-1,3:35,3:41,6.0,G to BEDZ,G to BEDZ,,0.0,,Y,Went to center for EDZ,G,E,B
HelloGoodbyeHelloHugo,4,Y,N,B,1-2,2:08,2:20,12.0,G to RTaDZ,G to RBDZ,,1.0,G to RTDZ,,"Was confused about how drop zones worked, felt the need to go backwards in order to accomplish task.",G,R,Ta
DieselRomeoRobotCoffee,6,N,Y,B,4-1,2:52,3:07,15.0,G to BEDZ,G to BEDZ,,0.0,,Y,Wants more space for edge drop zones.,G,E,B
CrimpleBeckAntiqueCake,6,N,Y,B,3-1,2:53,3:15,22.0,G to BCDZ,G to BCDZ,,0.0,,,Visual (Box) indication was how he figured this one out.,G,B,C
SuperRobotMonkeyTeam,2,Y,Y,B,1-1,1:29,1:46,17.0,G to RRDZ,G to RRDZ,G to REDZ,0.0,,,Verbose,G,R,R
abcdefghijklmnop,5,N,Y,L,1-2,1:34,1:48,14.0,R to RBDZ,G to RTDZ,G to TEDZ,1.0,Green to TEDZ,,Tried to drop red into itself to split top/bottom,R,R,B
KaoSitiSada,5,N,Y,L,3-1,3:07,5:11,124.0,G to BLDZ,G to BCDZ,,2.0,Cut off.,,Tried TaDZ 32 times,G,B,L
ILikeJupyterCon,3,Y,N,L,4-1,3:24,4:09,45.0,G to RBDZ,G to BEDZ,,2.0,,,Tried Tactic #1. Fumbled around a lot.,G,R,B
CILO,4,Y,N,B,4-1,3:31,4:29,58.0,G to RBDZ,G to BEDZ,,2.0,Never found Edge Drop Zone,,Tried tactic #1,G,R,B
TacoBullMonsterSurf,6,N,Y,B,3-1,3:36,5:10,94.0,G to BTaDZ,G to BCDZ,,2.0,Gave up,,Tried tab 17 times and gave up. ,G,B,Ta
NoMilkForSally,1,Y,Y,L,1-1,2:00,2:41,41.0,Resize Chrome Window,G to RRDZ,G to REDZ,2.0,G to RRDZ,,Tried Double Clicking,,,
SuperSecretCodePhrase,2,Y,Y,B,5-1,5:00,5:06,6.0,G to REDZ,G to REDZ,,0.0,,,Took extra time to explore,G,E,R
HamSandwichRightNow,6,N,Y,B,3-2,2:46,3:17,31.0,R to GCDZ,,,0.0,Reorded tabs,,Took a second to realize he was out of order.,R,G,C
StoreCatHiddenFacts,3,Y,N,L,1-1,1:27,2:29,62.0,G to RLDZ,G to RRDZ,G to REDZ,2.0,G to RRDZ,,Takes his time and talks everything out. Constantly over-explaining. ,G,R,L
