Respondent ID,What languages do you use in Jupyter? (other),What are your primary job roles when you are using Jupyter? (other),"What are your go-to tools for performing data science, scientific computing, and machine learning on your laptop/ desktop (non-cloud) for data science? (other)",How do you run and/ or access Jupyter? (other),Major use cases (other).,What data sources are you primarily working with in your role? (other),What data formats are you mostly working with? (other),Do you experience these problems with data in Jupyter? (other),What type of analysis are you running? (other),What tools do you use to create dashboards? (other),Do you experience these problems with visualization in Jupyter? (other),How do you scale and schedule your workloads? (other),Do you experience these problems with scale in Jupyter? (other),What is your reason for sharing a notebook with someone else? (other),Comments about collaboration:,Do you have challenges with collaboration in Jupyter? (other),Do you have challenges with the notebook UI?,Open feedback for problems/ pain points you didn't get to share.
12390574951,,,,,,,,,,QlikSense and Python Panel,,,,,,nbdime is nice but GitHub integration code diff is challenge,,"A more integrated nbdime function with GitHub can make easier to do code review, comment code"
12390517687,,,,,,,,,GIS,"ArcGIS Online, MS PowerBI",,,,,,,,
12390416984,,,,,,,,,,,,,,,,,,
12389819517,,,,,,,,,,,,,,,,,,
12389393327,,Electronic engineer,,,,,,,,,,,,,,,,
12389307029,,,,,,,,,,,,,,Working together on university assignments.,We use screensharing for collaboration.,,,"Being able to have a debug view, like in a Python IDE, would be awesome!"
12389198505,,,,,,,,,,,,,,,,,,
12389031078,,,,,,,,,,,,,,,,,,
12388666371,,,,,,,,,,,,,,,,,,
12388502670,,Design Engineer,,,,,,,,,,,,,,,,Thanks for the great tool and the hard work!
12388495712,,,,,,,,,"basic exploratory frequntist  statistics, frequency, spread, std error",,,,,Report progress and results /Presenting results ,,,,
12388344590,,mechanical engineer,,,,,,,,,,,,,,,,Really nice project
12388218012,,,,,,,,,,,,,,,,,,
12388074003,,,,, ,,,,,,,,,,.,,,
12387897485,,,,,,,,,,,,,,,,,Don't know which line fails in long cell,The limitation of answers to questions 9 and 11 seems to bias the survey
12386419400,,,,,,,,,,,,,,,,,,
12386381831,,,,,,,,,,Apache Superset,,,,,,,,
12386088421,,,,,,,,,,,,,,,,,,
12385242358,,,,,,,,,,,,,,,,,,search speed
12384800764,,,,,,,,,,,,,,,,,,
12383375054,,,,,,,,,,,,,,,,,,
12383165210,,,,,,,,,,,,,,,,,,I am brand new to developing! Student looking for a career change and enjoying the fun and challenging aspects of programming so far.
12382655901,,,,OpenPBS university cluster,,,,,,,,OpenPBS,,,,,,I tried lab for a while a couple of years ago and it crashed and I lost a lot of progress and I've been afraid of using it ever since... maybe this survey will make me brave enough to go back to it.
12382580450,,,,,,,,,,,,,,,,,,"constant issues with failing to stop running kernel using UI, resort to killing entire notebook server and restarting."
12382381709,,,,,,,,,,PowerBI,,,,,,,,
12382286034,,,,,,,,,,,,,,,,,No reactivity,
12381978610,,,,,,,,"Hard to navigate large notebooks, poor text editing capabilities",,primarily Apache Superset; otherwise Jupyter notebooks with Matplotlib graphs auto-published as HTML files by a cron job,,Oozie and occasionally cron jobs,,Sharing results with stakeholders,,,,
12381677059,,,None - I don't do this,,Experimenting with code. I use Jupyter Notebooks as a replayable REPL,,,Notebook versioning - I want to see my changes,,,,,,,,,"How truncated the output data is sometimes. Often I need to inspect something, and it doesn't show in the preview","I write Python occasionally, and when I have to put together a script I do it in Jupyter so I get regular feedback on whether it works.    I got started with Jupyter as an environment to teach physics students how to program; I still use it that way.    I did not know there was support for all those languages in Question 3; if I knew how to enable them, I'd use Jupyter every day!"
12381669505,F#,,,through SSH + VSCode,,,,,,,,,,,,,,
12381646069,,,,,,,,,,,,,,,,,,
12381525787,,,,,,,,,,,,,,,,,,
12381482135,,,,,,,,,,,,,,,,,,
12381156318,,,,,,,,,,Power BI,,,,,,,,
12381043133,,,,,,,,,,,,,,,,,,
12381012236,,Only developer on team of researchers,,,,,,,,,,,,,,,,
12380940798,,,,,,,,,,,,,,,,,,
12380884446,,,,,,,,,,,,,,,,,,
12380687491,"Didn't know one could use other languages also, tbh",,PyDev (Eclipse),,Proof of Concept / Draft / Once-off coding.  Education (teaching Python to students / juniors at work).,LibreOffice Calc spreadsheets,,,Format conversions and transformations,Matplotlib / Seaborn inside JupyterLab,"Plotting libraries such as Matplotlib and Seaborn are not very intuitive.  Their designs haven't matured yet.  Available functions seem to be inconsistent, as if it's been backed together by different people.  The only way to learn them is by finding examples.  But hey it works, so there's that.",,,,,,,Two extensions which are SO ESSENTIAL you should really really really just make it part of the JupyterLab core by default:  - @jupyterlab/toc  (developed by you guys)  - jupyter-execute-time (developed by D.E. Shaw)
12380630596,,Retired but trying to keep up with new stuff related to data science,,,,,,,,,,,,,,,,
12380597022,,,I have no idea,,,,,,,,,,,,,,,
12380377397,,,,,,,,,,,,,,,,,,
12380284100,,,,,,,,,,,,,,,,,No RMarkdown-style layout. I have problems with the very idea of Notebooks,"Trying to add a new kernel (Eg Nim, Scala) is often difficult. An option for an RMarkdown/Sweave style UI would be great."
